"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","","","*Unraised","HarmonizeBack","HarmonizeFront"
"","bayanat-RAISE-F","0","","0.999301858328879",""
"","bayanat-RAISE-B","2","","","0.000698141671120811"
"bayanname","bayanname-F","0","1","0.261040051624076",""
"","bayanname-B","0","1","","0.738959948375924"
"","bayanname-RAISE-F","15","","0.261040051624076",""
"","bayanname-RAISE-B","6","","","0.738959948375924"
"bayram","bayram-F","0","1","0.997849769644634",""
"","bayram-B","0","1","","0.00215023035536621"
"","bayram-RAISE-F","0","","0.997849769644634",""
"","bayram-RAISE-B","216","","","0.00215023035536621"
"baywechche","baywechche-F","0","1","0.214575605566932",""
"","baywechche-B","0","1","","0.785424394433068"
"","baywechche-RAISE-F","33","","0.214575605566932",""
"","baywechche-RAISE-B","0","","","0.785424394433068"
"baza","baza-F","0","1","0.995986474445883",""
"","baza-B","0","1","","0.00401352555411683"
"","baza-RAISE-F","0","","0.995986474445883",""
"","baza-RAISE-B","186","","","0.00401352555411683"
"bazar","bazar-F","0","1","0.998824867402891",""
"","bazar-B","0","1","","0.00117513259710855"
"","bazar-RAISE-F","0","","0.998824867402891",""
"","bazar-RAISE-B","1138","","","0.00117513259710855"
"bedel","bedel-F","0","1","0.00780999732101167",""
"","bedel-B","0","1","","0.992190002678988"
"","bedel-RAISE-F","665","","0.00780999732101167",""
"","bedel-RAISE-B","0","","","0.992190002678988"
"beden","beden-F","0","1","0.00833221002594458",""
"","beden-B","0","1","","0.991667789974055"
"","beden-RAISE-F","166","","0.00833221002594458",""
"","beden-RAISE-B","1","","","0.991667789974055"
"behre","behre-F","0","1","0.0147913857469418",""
"","behre-B","0","1","","0.985208614253058"
"","behre-RAISE-F","4","","0.0147913857469418",""
"","behre-RAISE-B","0","","","0.985208614253058"
"behrilen","behrilen-F","0","1","0.127982467464573",""
"","behrilen-B","0","1","","0.872017532535427"
"","behrilen-RAISE-F","6","","0.127982467464573",""
"","behrilen-RAISE-B","0","","","0.872017532535427"
"belche","belche-F","0","1","0.812808106747348",""
"","belche-B","0","1","","0.187191893252652"
"","belche-RAISE-F","3","","0.812808106747348",""
"","belche-RAISE-B","0","","","0.187191893252652"
"bende","bende-F","0","1","0.0505239550125195",""
"","bende-B","0","1","","0.949476044987481"
"","bende-RAISE-F","121","","0.0505239550125195",""
"","bende-RAISE-B","0","","","0.949476044987481"
"benze","benze-F","0","1","0.310373924070139",""
"","benze-B","0","1","","0.689626075929861"
"","benze-RAISE-F","2","","0.310373924070139",""
"","benze-RAISE-B","0","","","0.689626075929861"
"bésharet","bésharet-F","0","1","0.00680291451334855",""
"","bésharet-B","0","1","","0.993197085486651"
